-15,-13.89
-14.75,-13.9
-14.5,-13.9
-14.25,-13.9
-14,-13.9
-13.5,-13.5
-13,-13
-12.5,-12.5
-12,-12
-11.5,-11.5
-11,-11
-10.5,-10.5
-10,-10
-9,-9
-8,-8
-7,-7
-6,-6
-5,-5
-4,-4
-3,-3
-2,-2
-1,-1
0,-0,007
1,0.99
2,1.99
3,2.99
4,4
5,5
6,6
7,7
8,8
9,9
10,10
10.5,10.5
11,11
11.5,11.5
12,12
12.5,12.5
13,13
13.5,13.5
14,13.9
14.25,13.9
14.5,13.9
14.75,13.9
15,13.9
